2000,3,The Bear and the Dragon,Tom Clancy
1999,3,Assassins,Jerry B. Jenkins and Tim LaHaye
1998,3,Bag of Bones,Stephen King
1997,3,The Ghost,Danielle Steel
1996,3,Desperation,Stephen King
1995,3,Five Days in Paris,Danielle Steel
1994,3,The Celestine Prophecy,James Redfield
1993,3,Slow Waltz in Cedar Bend,Robert James Waller
1992,3,Gerald's Game,Stephen King
1991,3,Needful Things,Stephen King
1990,3,The Burden of Proof,Scott Turow
1989,3,Daddy,Danielle Steel
1988,3,Zoya,Danielle Steel
1987,3,Kaleidoscope,Danielle Steel
1986,3,Whirlwind,James Clavell
1985,3,Lake Wobegon Days,Garrison Keillor
1984,3,The Sicilian,Mario Puzo
1983,3,Pet Sematary,Stephen King
1982,3,The Parsifal Mosaic,Robert Ludlum
1981,3,Cujo,Stephen King
1980,3,Rage of Angels,Sidney Sheldon
1979,3,Overload,Arthur Hailey
1978,3,Fools Die,Mario Puzo
1977,3,Illusions: The Adventures of a Reluctant Messiah,Richard Bach
1976,3,Dolores,Jacqueline Susann
1975,3,Curtain,Agatha Christie
1974,3,Jaws,Peter Benchley
1973,3,Breakfast of Champions,Kurt Vonnegut
1972,3,The Odessa File,Frederick Forsyth
1971,3,The Passions of the Mind,Irving Stone
1970,3,Islands in the Stream,Ernest Hemingway
1969,3,The Love Machine,Jacqueline Susann
1968,3,The Salzburg Connection,Helen MacInnes
1967,3,The Chosen,Chaim Potok
1966,3,The Secret of Santa Vittoria,Robert Crichton
1965,3,Herzog,Saul Bellow
1964,3,Herzog,Saul Bellow
1963,3,"Raise High the Roof Beam, Carpenters, and Seymour-An Introduction ",J.D. Salinger
1962,3,A Shade of Difference,Allen Drury
1961,3,Mila 18,Leon Uris
1960,3,The Leopard,Giuseppe Tomasi di Lampedusa
1959,3,Hawaii,James A. Michener
1958,3,Lolita,Vladimir Nabokov
1957,3,Compulsion,Meyer Levin
1956,3,Peyton Place,Grace Metalious
1955,3,Andersonville,MacKinlay Kantor
1954,3,Love Is Eternal,Irving Stone
1953,3,Desirée,Annemarie Selinko
1952,3,East of Eden,John Steinbeck
1951,3,Moses,Sholem Asch
1950,3,Across the River and into the Trees,Ernest Hemingway
1949,3,Mary,Sholem Asch
1948,3,Dinner at Antoine's,Frances Parkinson Keyes
1947,3,Gentleman's Agreement,Laura Z. Hobson
